"keyName","value","prob","cont_prob"
"vertically striped dress",1,8.78040214241812e-05,3.25
"article also includes",1,8.78040214241812e-05,3.25
"also includes pictures",1,8.78040214241812e-05,3.25
"find fitted t",1,8.78040214241812e-05,3.25
"fitted t shirt",1,8.78040214241812e-05,3.25
"shirt knits make",1,8.78040214241812e-05,3.25
"look larger anyways",1,8.78040214241812e-05,3.25
"horizontal striped one",1,8.78040214241812e-05,3.25
"particularly slimming non",1,8.78040214241812e-05,3.25
"slimming non fitted",1,8.78040214241812e-05,3.25
"non fitted tees",1,8.78040214241812e-05,3.25
"fitted tees make",1,8.78040214241812e-05,3.25
"look wider also",1,8.78040214241812e-05,3.25
"wider also regardless",1,8.78040214241812e-05,3.25
"widening horizontal's tend",1,8.78040214241812e-05,3.25
"fitted finally ending",1,8.78040214241812e-05,3.25
"exactly perfectly vertical",1,8.78040214241812e-05,3.25
"christmas party downstairs",1,8.78040214241812e-05,3.25
"uncle sam just",1,8.78040214241812e-05,3.25
"sam just recently",1,8.78040214241812e-05,3.25
"recently gave back",1,8.78040214241812e-05,3.25
"interest free throughout",1,8.78040214241812e-05,3.25
"free throughout last",1,8.78040214241812e-05,3.25
"throughout last year",1,8.78040214241812e-05,3.25
"birthday gift lined",1,8.78040214241812e-05,3.25
"mother jones passed",1,8.78040214241812e-05,3.25
"jones passed away",1,8.78040214241812e-05,3.25
"famous labor organizer",1,8.78040214241812e-05,3.25
"hi heather thanks",1,8.78040214241812e-05,3.25
"universal life church",1,8.78040214241812e-05,3.25
"first nation ministry",1,8.78040214241812e-05,3.25
"get certified online",1,8.78040214241812e-05,3.25
"route make sure",1,8.78040214241812e-05,3.25
"necessary confidence trust",1,8.78040214241812e-05,3.25
"leader must possess",1,8.78040214241812e-05,3.25
"must possess without",1,8.78040214241812e-05,3.25
"office planning decision",1,8.78040214241812e-05,3.25
"planning decision making",1,8.78040214241812e-05,3.25
"phone via email",1,8.78040214241812e-05,3.25
"good old fashion",1,8.78040214241812e-05,3.25
"old fashion thank",1,8.78040214241812e-05,3.25
"sighing heavily stomping",1,8.78040214241812e-05,3.25
"susie susie susie",1,8.78040214241812e-05,3.25
"create different looks",1,8.78040214241812e-05,3.25
"way warmists want",1,8.78040214241812e-05,3.25
"several la nina",1,8.78040214241812e-05,3.25
"la nina cooling",1,8.78040214241812e-05,3.25
"nina cooling events",1,8.78040214241812e-05,3.25
"warming el nino",1,8.78040214241812e-05,3.25
"el nino events",1,8.78040214241812e-05,3.25
"nino events fear",1,8.78040214241812e-05,3.25
"can maybe smooth",1,8.78040214241812e-05,3.25
"agreed operational standards",1,8.78040214241812e-05,3.25
"communicating rights information",1,8.78040214241812e-05,3.25
"across industry sectors",1,8.78040214241812e-05,3.25
"across national borders",1,8.78040214241812e-05,3.25
"beat egg yolks",1,8.78040214241812e-05,3.25
"flour set aside",1,8.78040214241812e-05,3.25
"always including c",1,8.78040214241812e-05,3.25
"crab cakes faidley's",1,8.78040214241812e-05,3.25
"lexington market supposedly",1,8.78040214241812e-05,3.25
"g m restaurant",1,8.78040214241812e-05,3.25
"m restaurant near",1,8.78040214241812e-05,3.25
"restaurant near bwi",1,8.78040214241812e-05,3.25
"near bwi airport",1,8.78040214241812e-05,3.25
"crab cakes widely",1,8.78040214241812e-05,3.25
"cakes widely believed",1,8.78040214241812e-05,3.25
"r n b",1,8.78040214241812e-05,3.25
"always hear parents",1,8.78040214241812e-05,3.25
"hear parents talking",1,8.78040214241812e-05,3.25
"computer bag ready",1,8.78040214241812e-05,3.25
"handle change well",1,8.78040214241812e-05,3.25
"change well now",1,8.78040214241812e-05,3.25
"well now every",1,8.78040214241812e-05,3.25
"now every aspect",1,8.78040214241812e-05,3.25
"first chapter's colour",1,8.78040214241812e-05,3.25
"chapter's colour pages",1,8.78040214241812e-05,3.25
"last chapter's one",1,8.78040214241812e-05,3.25
"chapter's one colour",1,8.78040214241812e-05,3.25
"one colour page",1,8.78040214241812e-05,3.25
"mentioned volume covers",1,8.78040214241812e-05,3.25
"really high quality",1,8.78040214241812e-05,3.25
"quality drawings akamatsu",1,8.78040214241812e-05,3.25
"sample society website",1,8.78040214241812e-05,3.25
"shipping confirmation also",1,8.78040214241812e-05,3.25
"random automated email",1,8.78040214241812e-05,3.25
"automated email listing",1,8.78040214241812e-05,3.25
"dermalogica sample spilt",1,8.78040214241812e-05,3.25
"powder got everywhere",1,8.78040214241812e-05,3.25
"believe wa residents",1,8.78040214241812e-05,3.25
"wa residents actually",1,8.78040214241812e-05,3.25
"pay another dollar",1,8.78040214241812e-05,3.25
"unfinished projects letting",1,8.78040214241812e-05,3.25
"projects letting go",1,8.78040214241812e-05,3.25
"us human nature",1,8.78040214241812e-05,3.25
"ultimate romantic notion",1,8.78040214241812e-05,3.25
"romantic notion loving",1,8.78040214241812e-05,3.25
"notion loving someone",1,8.78040214241812e-05,3.25
"trust owns around",1,8.78040214241812e-05,3.25
"owns around miles",1,8.78040214241812e-05,3.25
"carrying another miracle",1,8.78040214241812e-05,3.25
"another miracle every",1,8.78040214241812e-05,3.25
"miracle every night",1,8.78040214241812e-05,3.25
"little one home",1,8.78040214241812e-05,3.25
"also recommend reading",1,8.78040214241812e-05,3.25
"recipe roundup tomorrow",1,8.78040214241812e-05,3.25
"favorite pinterest recipes",1,8.78040214241812e-05,3.25
"one fun times",1,8.78040214241812e-05,3.25
"fun times ahead",1,8.78040214241812e-05,3.25
"salt hurt like",1,8.78040214241812e-05,3.25
"hurt like heck",1,8.78040214241812e-05,3.25
"definitely worth sparing",1,8.78040214241812e-05,3.25
"mulv like contaminant",1,8.78040214241812e-05,3.25
"like contaminant virus",1,8.78040214241812e-05,3.25
"contaminant virus surprisingly",1,8.78040214241812e-05,3.25
"gotta read ashen",1,8.78040214241812e-05,3.25
"read ashen stars",1,8.78040214241812e-05,3.25
"focus reading away",1,8.78040214241812e-05,3.25
"can easily read",1,8.78040214241812e-05,3.25
"work feeling completely",1,8.78040214241812e-05,3.25
"feeling completely hollowed",1,8.78040214241812e-05,3.25
"stepping back now",1,8.78040214241812e-05,3.25
"made enough time",1,8.78040214241812e-05,3.25
"mountain every week",1,8.78040214241812e-05,3.25
"just writing yelp",1,8.78040214241812e-05,3.25
"writing yelp reviews",1,8.78040214241812e-05,3.25
"perfectly functional polaroid",1,8.78040214241812e-05,3.25
"functional polaroid sx",1,8.78040214241812e-05,3.25
