"keyName","value","prob","cont_prob"
"looking",43,0.000832075544719223,0.000832075544719223
"try",42,0.000812724950655985,0.000812724950655985
"without",42,0.000812724950655985,0.000812724950655985
"season",42,0.000812724950655985,0.000812724950655985
"real",41,0.000793374356592747,0.000793374356592747
"yet",41,0.000793374356592747,0.000793374356592747
"found",41,0.000793374356592747,0.000793374356592747
"city",41,0.000793374356592747,0.000793374356592747
"wait",41,0.000793374356592747,0.000793374356592747
"call",40,0.00077402376252951,0.00077402376252951
"anyone",40,0.00077402376252951,0.00077402376252951
"part",40,0.00077402376252951,0.00077402376252951
"might",40,0.00077402376252951,0.00077402376252951
"friends",40,0.00077402376252951,0.00077402376252951
"fun",40,0.00077402376252951,0.00077402376252951
"pretty",40,0.00077402376252951,0.00077402376252951
"p",40,0.00077402376252951,0.00077402376252951
